Job_Title,Location,Job_Highlight,JRJD,Company_Name
ASSISTANT MANAGER - DATA ANALYTICS,Wan Chai,"['Min 5-7 years’ experience in data analytics', 'Data analytics of loyalty program', 'Proficiency in Tableau & SQL programming']","['RequirementsBachelor degree in Computer Science, Information System, Information Management, Quantitative Analysis, Statistics, IT or related disciplineMinimum 5-7 years’ experience in data analytics, business insights, customer segmentation, data segmentation of loyalty programs in fast-paced industriesProficiency in Tableau & SQL programming (e.g. MySQL, PostgreSQL etc). Knowledge on Python skills, Google Analytics would be an advantageStrong business acumen, analytical skills and numerical sense, able to work independently with attention to detailsHave good communication and interpersonal skillsExperience in managing complex customer data from multiple sourcesResponsibilitiesAssist in managing the overall data analytics framework for the loyalty program with an aim to drive customer loyalty and increase customer salesTranslate business questions into analysis and deliver findings to address the business questionsWork with cross function teams on analysis such as campaign performance, customer analysis, segmentation and develop analytics reports with actionable insights and recommendationsAnalyze and prepare regular and ad-hoc management and business reports to facilitate in data driven decision makingDevelop Tableau Dashboards for cross-platform data analysis and provide training to end users for effective usage of dashboardsGood remuneration and attractive fringe benefits will be offered to the successful applicant. Interested parties please apply with full resume, present and expected salary, available date by clicking ""Apply Now"".We are an equal opportunity employer and welcome applications from all qualified candidates. All personal data collected will be used for recruitment purpose only. Applicants not hearing from us within 3 months may consider their applications unsuccessful. All personal data collected will be destroyed within 24 months.', 'Requirements', 'Requirements']",Sun Hung Kai Properties
IT Assistant (Data Management),Mong Kok,"['5-days work, bank holiday', 'Data administration and inventory management', '1-2 years working experience']","['Job Responsibilities:To perform regular updating of the data and upkeeping survey recordsTo produce regular reportsTo produce summaries or tables based on figures uploaded through the online portalTo maintain inventory of all computer inventory, perform upgrading of workstation hardware and software, and report fault calls to system suppliers for follow-upJob Requirements:2 years of working experience\xa0Experience in data administration or website management is highly advantage', 'ts:']",EIDEALINK LIMITED
"Associate Vice President, Dashboard Reporting (Assistant Manager Level)",Wan Chai,"['Degree in Statistics, Business Analysis or related', '10+yrs in business intelligence/ data vis. tools', 'Double pay and discretionary bonus']","['ResponsibilitiesDirect report to Chief Analytics OfficerLead a team to design, develop and maintain advanced analytics and reportingLiaise with key stakeholders to translate business requirements into dashboardsIdentify, analyze and interpret patterns in complex data sets to provide business insightsKeep abreast of data analytics trends and propose innovative ideas and solutionsRequirementsUniversity graduate in Statistics, Mathematics, Business Analysis or a related fieldOver 10 years’ experience in using business intelligence / data visualization tools (e.g. Tableau)Solid experience in programming languages (e.g. Python, R, SQL)Knowledge of cloud-based infrastructure (e.g. Azure, AWS) is an advantageStrong communication, presentation and problem-solving skillsWe offer attractive remuneration package which includes double pay and discretionary bonus. Interested parties please send your CV indicating your current salary, expected salary and availability to HR Department, by clicking “Apply Now”(Personal data collected will be treated in the strictest confidence and will be handled by authorized personnel for recruitment-related purposes only. Applicants who do not hear from us within 3 months may consider their application unsuccessful and their data will be destroyed within 24 months of receipt.)']",United Asia Finance Limited
Data Center Customer Operations Engineer / Field Engineer,Tsuen Wan Area,"['Open to Fresh Graduate applicants', 'Operation support to data centre operation', 'World Leading Enterprise in Data Center industry']","['Who are we?Equinix is one of the fastest growing data center companies, growing connectivity between clients worldwide. With over 200 data centers in 25 countries spanning across 5 continents, we are home to the Cloud, supporting 2,900 Cloud and IT services companies that are directly engaged in technological innovation and development. We are passionate about further evolving the specific areas of software development, software and network architecture, network operations and complex cloud and application solutions.A career at Equinix means constant opportunities to learn new skills and grow in new directions. We look for people who are customer service driven and who pride themselves on their technical skills alongside their analytical skills and innovative approach The Role:The incumbent would provide day-to-day support to operation of EQUINIX world class Data Centre.Job Responsibilities:Provide Technical Support services including: Data Centre operations, equipment maintenance and service provisioningInstall and uninstall customer connectivity service, including circuit testing and labelingProvide training workshops to new or junior team memberPerform cross connect related audit duties, record validation and housekeeping workManage MMR expansion projects such as frame installation, fiber runner / cable ladder installation and pre-wire cabling workSupport for local networking devices (Cisco / Juniper / Brocade / H3C)Incident handling, problem troubleshooting and escalation to upper tierMaintain accurate records, document all problems, and prepare reportsExhibit quality workmanship on all workManage multiple concurrent interdisciplinary projects and ability to work in a teamJob Requirements:Technical Institute graduate in Computer Science, Information Engineering or related discipline2 years or above experience\xa0n NOC support in Data Centre, helpdesk support experiencesFresh Graduates are also welcome for junior positionsCustomer focus with good communications and interpersonal skillsGood presentation skills and problem solving skillsDiscipline, self-initiative, self-motivate\xa0Basic English speaking and writingShift Work is required', 'Who are we?']",Equinix Hong Kong Ltd
IT Data Centre Operator,Tsuen Wan Area,"['Monitor & manage data center facilities', 'Fresh graduates are welcome', '5 day work week, Performance bonus']","['\xa0What you’ll be doing?Perform activities for monitoring and managing data center facilities, computer resources utilization, computer server performance, computer operations, batch cycles running and data backup to assure IT systems are running normally within pre-defined schedules and parametersAssure safe and reliable operations of data center and infrastructure systems on 24x7 basisFollow operation management procedures with a focus on Incident management, Problem management, Change management, Event management, SLAs, production support practices for the running systemsConduct production printing activities for business job requestsFollow shift roaster to take shifts and checking of each shift’s operation logMaintain data center fixed asset inventory and conduct stock takingWho\xa0are\xa0we\xa0looking\xa0for?\u200bSecondary education or aboveFresh graduates of Information Technology related subjects are also consideredPreferably 1 year working experience in data center operationExperience in IBM Mainframe system is preferable but not mustKnowledge in Microsoft Windows, Microsoft Office, General computerDetail-minded, able to work independently and a good team playerWhy you should consider this opportunity:We offer attractive remuneration package with fringe benefits to right candidates. such as5 days work week\xa0 \xa0 \xa0\xa0Performance bonusShift allowanceMedical insurance\xa0(Including staff dependents)Dental\xa0insuranceLife\xa0insuranceBirthday leaveInterested parties please send resume with date of available and expected salary by clicking ""Apply Now"".All information received will be kept in strict confidence and will be treated only for employment related purposes.', 'What you’ll be doing?', 'Perform activities for monitoring and managing data center facilities, computer resources utilization, computer server performance, computer operations, batch cycles running and data backup to assure IT systems are running normally within pre-defined schedules and parameters']",OCBC Wing Hang Bank Limited
Software Engineer / Assistant Software Engineer (Data Management / Data Analytics),Tsim Sha Tsui,"['Degree in CS with minimum 2 years’ experience', 'Solid SQL development experience is essential', 'Data Management / Data Analytics']","['IT Channel is a local Solutions Integrator company founded in 2003 providing and delivering sophisticate technology solutions to multinational corporations and local enterprises. To cope with our expanding business, we are looking for high calibre professionals joining our professional services team. If you believe yourself a confident professional willing to take challenges, send us your resume.What you’ll be doing?Primarily performing technical development tasks in projectsDevelop technical solutions using different technologies to meet agreed requirementsPrepare technical and functional specifications documentProvide technical and functional consultancy to clientsMeet and work with clients to collect business requirementsWho\xa0are\xa0we\xa0looking\xa0for?Degree holder in Computer Science, Information Systems, or equivalent combination of educationMinimum 2 years of relevant working experience in data analytics, data management domainsGood concept and foundation skills on software development or data analytics domainSolid SQL development experience is essentialStrong enthusiastic in taking up new technologiesSelf-motivated and good problem-solving skillsQuality and achievement orientedYou will have an advantage if you haveKnowledge in Data Visualization, Big Data, Business Intelligence, Data Warehouse and Data Management\xa0*Candidates with less experience will be considered as\xa0Assistant Software EngineerWhy you should consider this opportunity:We offer attractive remuneration package with fringe benefits to right candidates. such as5 days’ work weekMedical Expenses ClaimBirthday LeaveFlexible working hoursInterested parties please send resume with date of available and expected salary by clicking ""Apply Now"".All information received will be kept in strict confidence and will be treated only for employment related purposes.', 'IT Channel is a local Solutions Integrator company founded in 2003 providing and delivering sophisticate technology solutions to multinational corporations and local enterprises. To cope with our expanding business, we are looking for high calibre professionals joining our professional services team. If you believe yourself a confident professional willing to take challenges, send us your resume.', 'What you’ll be doing?']",IT Channel (Asia) Limited
"Senior Manager, IT Data Governance",Wan Chai,"['IT Data Governance', 'Data warehouse / BI', 'Develop data dictionary, data lineage']","['Responsibilities:Develop and govern an enterprise-wide data governance, data quality and data management roadmap, including necessary IT solutions and/or external services;Working with the business stakeholders to solve data quality/availability issues and work with the data engineers and analyst;Identify and uplift data owners to ensure roles and responsibilities are clearly defined throughout the data lifecycle;Develop of data dictionary, data lineage and business glossary on critical data elements;Create and maintain DG policies, playbook(s), processes, procedures for guiding various data management processes, including adoption of data security and privacy, data quality control and data dissemination activities;Align data management practices with regulatory requirements;Participate in any ad-hoc projects as assigned.\u200bRequirements:Bachelor’s degree or above in Information System, Computer Science or related disciplines;Minimum 8 years of relevant experience in Data related field. Experience in Data Governance, establishing and enforcing data operating models and standardized operating procedures, preferably with financial data management background will be an advantage;Knowledge of industry leading data quality and data protection management practices;Knowledgeable in tools used to identify and manage structured and unstructured data;Experience in Microsoft Azure Data analytics solutions is an advantage;Excellent analytical and problem-solving abilities;Passionate about data quality and data governance;Curious, meticulous, self-motivated and strong continuous improvement mind-set;Excellent verbal and written communication skills;Working knowledge in managing projects, vendors and suppliers;Proficient in both spoken and written English and Chinese.We offer competitive remuneration including career prospects to the right candidate. Interested parties please submit your application viaOur Talent PlatformEmail by clicking “Apply Now”The employee for above position will be employed under AGBA¹ Group Limited.(All applications will be treated in strict confidence and used for recruitment purpose by AGBA Group Limited and its affiliates only. All applicants are kept on file 6 months from the date of the application.)1.\xa0AGBA is a one-of-a-kind wealth and health platform, helping people enjoy wealth and health with the ease they deserve.AGBA Group (“AGBA” or “The Group”) is a Nasdaq-listed company (NASDAQ: AGBA), the Group’s activities span a business-to-business (B2B) platform, healthcare and wellness services, fintech businesses, as well as financial advisory services.', 'Responsibilities:', 'Develop and govern an enterprise-wide data governance, data quality and data management roadmap, including necessary IT solutions and/or external services;']",AGBA Group Limited
"Data Administrator (E-Commerce, Sports wear)",Kowloon Bay,"['Strong Excel skills (Vlookup, Pivot table)', 'Five-day work week, Double Pay', 'Young & Friendly working environment']","['Job\xa0Duties:Prepare daily sales reports;Turn raw data into information and insight;Analyze business data necessary to identify trends and data outliers that suggest new opportunities;Identifying fraudulent or abusive purchasing activities;Assist department manager to complete business report.\xa0Job Requirements:Diploma graduates or aboveFluent in Cantonese, Mandarin and written EnglishMinimum one year experience in data reporting and analysingGood at using Excel, MS Power point is a MUSTChinese and English typing5 days works (may need to work on public holidays depends on business needs)Immediately available is highly preferred\xa0Staff Benefits :5 days a weekDouble PayStaff Shopping discountBirthday GiftWedding LeaveMedical InsuranceDental InsuranceOn Job TrainingGood Working Environment\xa0\xa0Overtime Pay']",BAOZUN HONGKONG LIMITED
Carrier Relation Manager - Data Center,Others,"['colocation, racks', 'Data center, sales', 'product sales , telecom']","['Role Summary:Carrier Sales Manager engages with Telcos, Fabric partners, Channels and direct Enterprises/Partners to deliver high level solution architecture, build out market leading commercial propositions develop sales strategies. The job holder is with skills to grow the relationships with the Telcos, channels and direct Enterprises/Partners, proven consultative expertise to engage with customer and define their transformation journey. The candidate must be able to identify, understand, appraise and translate enterprise customer requirements and trends into technically & commercially successful propositions.Duties & Responsibilities:Bring in Local & global telecom partners in BDx MMREnsure availability of diversified fiber access availability from all major telecom operatorsGenerate revenue by selling MMR racks to telcos & fabrics10+ Yrs experience working with Large telecom and data center companies with relationship till decision making levelLeads and wins sales activities at a customer level. Device Sales strategy and apply on groundSupport deals with any required special requirements to increase our win rates and drive short term growthParticipate in workshops and presentations with customers to generate opportunities and determine requirements first-handDevise a plan and priority list to approach different market channels.Lead Point of view (POV) based discussion and educate customers about BDx colocation & Interconnection possibilities, workshops, meetings and be responsible for end-to-end solution vision and design.Analyze & gather business requirement from large & complex client environments and perform required research and investigation to identify and create thorough, accurate techno commercial solution proposals based on client requirements.Responsible for partnering with sales/ channel leadership to drive net new business opportunities within the existing regional account base as well as drive customer acquisition activities as assigned.Report on achievement metrics weekly and monthly basis.Requirement:Degree in Engineering / Telecom / Computer Science / IT or other fields.Minimum of 10 years of experience in the Data Center & telco Industry.Minimum 5 years of experience of managing technical or consulting team in pre-sales environment in the Telco & Data Center industry.Minimum 5 years of experience in evaluating large enterprise business requirements and designing complete technical/business solutions for complex enterprise environments.Demonstrated experience in building colocation, Interconnection and hybrid cloud pitches.Excellent interpersonal and communications skills. Strong presentation skills, knowledge of “Point of View based Selling.Strong organizational skills with ability to manage competing demands and operate in dynamic environment.Good commercial understanding of Colocation, Interconnection services is must.Previous work experience with leading System Integrators is an advantage.']",Nityo Infotech Services Limited
"Senior Manager / AVP, Treasury Market Operations (Collateral Management & Data Management)",Tsim Sha Tsui,"['Collateral Management operations', 'Oversee Systems Market Data and Static Data', 'Sound knowledge of ISDA, CSA and GMRA']","['Job Purpose:Manage end to end workflow for Collateral Management operations\xa0Oversee Treasury department systems market & static data maintenance and system testingAccountabilities:Manage collateral management team to perform daily operations task\xa0including trade reconciliation, margin call, dispute management, documentation and collateral settlementEnsure end to end collateral operations work is completed and compliance with regulatory requirements and clearing house’s ruleEnsure collateral management team development is aligning with business and align with bank strategyEnsure collateral inventory and custodian account is properly managedOversee Market Data and Static Data in Treasury related systemsRequirements:Bachelor Degree Holder5 years of experience in investment banking or wholesale banking with solid experience in Collateral Management OperationsSound knowledge of ISDA, CSA and GMRA is an advantageExperience of implement Collateral Management System and/or HKMA OTC Margining Rule (SPM14) is preferredExperience of AcadiaSoft IMEM & TriOptima, MarginSphere, Reuters & Bloomberg is preferred', 'Job Purpose:', 'Manage end to end workflow for Collateral Management operations\xa0']",China CITIC Bank International Limited
